name,luminance,power_consumption,lifetime,cost
SpeedStar BGP323 GRN156-2S/740 I DM FG AL SI,13621,137,100000,3899
SpeedStar BGP323 GRN166--2S/740 I DM FG AL SI,14417,147,100000,3999
SpeedStar BGP323 GRN195--2S/740 I DM FG AL SI P3-7,16773,169,100000,4599
SpeedStar BGP323 GRN137--2S/740 I DM FG AL SI P3-7,12010,122,100000,3299
SpeedStar BGP323 GRN195--2S/740 I DM FG AL SI,16773,169,100000,4599
SpeedStar BGP323 ECO241--2S/740 I DM FG AL SI,20155,228,70000,5399
SpeedStar BGP323 GRN146--2S/740 I DM FG AL SI,12819,128,100000,3099
SpeedStar BGP323 GRN146--2S/740 I DM FG AL SI P3-7,12819,128,100000,3099
SpeedStar BGP323 ECO184-2S/740 I DM FG AL SI,15773,171,70000,4799
SpeedStar BGP323 ECO198-2S/740 I DM FG AL SI,16889,186,70000,4899
SpeedStar BGP323 ECO255--2S/740 I DM FG AL SI,21216,242,70000,5599
SpeedStar BGP323 ECO170-2S/740 I DM FG AL SI,14643,158,70000,4499
Selenium LED BGP340 LED110S/640 PSU I DM FG P1 48/60,9415,108,60000,2599
Selenium LED BGP340 LED74S/640 PSU I DM FG P3-35 48/6,6372,71,60000,1999
Selenium LED BGP340 LED92S/640 PSU I DM FG P3-35 48/6,7906,89,60000,2299
Selenium LED BGP340 LED55S/640 PSU I DM FG P1 48/60,4810,56,60000,1599
ClearWay BGP303 LED122/740 PSR I DDF1 C450C3 76,10319,131,50000,3499
ClearWay BGP303 LED73/740 PSR I D7 C450C5 42/60,6428,83,50000,2199
ClearWay BGP303 LED98/740 PSU I DM C450C3 76,8413,106,50000,2599
ClearWay BGP303 LED49/740 PSR I D7 C450C5 42/60,4363,57,50000,1599
ClearWay BGP303 LED49/740 PSR I DDF1 C450C3 42/60,4363,57,50000,1599
ClearWay BGP303 LED122/740 PSU I DM P3-35 C450C3,10319,131,50000,3299
CitySpirit BDS480 ECO93-2S/830 II DM GR T35 60P,6993,121,70000,3099
CitySpirit BDS480 ECO57-2S/740 II DW GR T35 76P C6K,4164,52,70000,1699
CitySpirit BDS480 GRN59-2S/740 I DW GR T15 60P,4544,50,100000,1699
CitySpirit BDS480 GRN78-2S/740 II DM GR T35 60P,6052,74,100000,1999
CitySpirit BDS480 GRN39-2S/740 I DW GR T15 60P,3112,38,100000,1299
Milewide BRS419 1xECO23-2S/830 MSO,2018,29,50000,1199
Milewide BRS421 GRN49-2S/740 I DC GR DD1 T15,4362,45,100000,1399
CitySoul  BGP431 GRN137--2S/740 I DM CO GR 76P,15015,122,100000,3299
CitySoul  BGP431 ECO198--2S/740 I DM CO GR 76P,8375,80,70000,1799
CitySoul  BGP431 GRN117--2S/740 I DM CO GR 76P,11773,102,100000,2599
CitySoul  BGP431 GRN98--2S/740 I DW CO GR 76P,8405,84,100000,2099
MAX-LED SL1,2300,28,50000,1399
MAX-LED SL2,4600,56,50000,1999
MAX-LED SL4,9300,112,50000,2999
MAX-LED SL6,14000,168,50000,4299
MAX-LED SL8,21600,224,50000,5899